Var1,Var2,Var3,Var4,Var5
-10.0,0.0,1.32963712396326,13,0.0046273911892785995
-9.797979797979798,0.0,1.4853656029588924,75,0.004907135317227928
-9.595959595959595,0.0,1.5821438556020722,83,1.0850847936022618
-9.393939393939394,0.0,1.587533236471704,68,0.3593204979253068
-9.191919191919192,0.0,1.4921114140307772,39,-0.7704883043872697
-8.98989898989899,0.0,1.3134093467841264,18,1.3327000120605206
-8.787878787878787,0.0,1.0887236108846552,60,-0.9398493673217106
-8.585858585858587,0.0,0.8605976150837007,55,-0.8708848641828031
-8.383838383838384,0.0,0.6622869538909746,78,-1.683150941370454
-8.181818181818182,0.0,0.5096673693242159,22,-1.8497291250919639
-7.979797979797979,0.0,0.401754087126033,82,1.1079575271927684
-7.777777777777778,0.0,0.3273062086687715,77,0.38677245505551455
-7.575757575757576,0.0,0.2727206133574083,19,-0.3289140203182754
-7.373737373737374,0.0,0.22734783478051798,56,1.1549149658695135
-7.171717171717171,0.0,0.18507150787371726,42,1.821379539078456
-6.96969696969697,0.0,0.1433207957667043,87,-0.40958204357587275
-6.767676767676768,0.0,0.10138306097044328,19,0.31072585308173967
-6.565656565656566,0.0,0.05920416480384378,7,0.5123170350111628
-6.363636363636363,0.0,0.016874909969909913,39,-0.02017148745533478
-6.161616161616162,0.0,-0.025497376507202008,39,1.221781132844009
-5.959595959595959,0.0,-0.06780462735047388,85,-0.3998669085782848
-5.757575757575758,0.0,-0.1099375848055856,94,-0.15092720427278475
-5.555555555555555,0.0,-0.151760411171289,59,1.1981706512683505
-5.353535353535354,0.0,-0.19293222199014706,6,-0.06531475072847558
-5.151515151515151,0.0,-0.2322721755778146,13,-1.803196703045566
-4.94949494949495,0.0,-0.266417053850016,80,1.4410569547954852
-4.747474747474747,0.0,-0.2881466243311986,69,0.5305123458335094
-4.545454545454546,0.0,-0.2857646525735419,87,0.7636485777718937
-4.343434343434343,0.0,-0.24539983525407544,68,-0.17047149518686208
-4.141414141414142,0.0,-0.15703635026684454,59,-1.1406209193486903
-3.9393939393939394,0.0,-0.022529436006050507,24,-0.8025041157246177
-3.737373737373738,0.0,0.13866391755165064,9,1.6131404500077426
-3.5353535353535355,0.0,0.29064403798677163,24,1.8549813320080792
-3.333333333333333,0.0,0.39081498910477375,72,-1.4203299067884811
-3.1313131313131315,0.0,0.40503197120817047,19,0.40844704405685417
-2.929292929292929,0.0,0.32116541031753587,11,-1.0783787808153158
-2.7272727272727275,0.0,0.15415274389411482,38,0.028215600832006138
-2.525252525252525,0.0,-0.06013926448651963,36,-1.3429915008087396
-2.3232323232323235,0.0,-0.2789951707436502,62,-0.6160162741638887
-2.121212121212121,0.0,-0.4677286558265961,51,0.1102246995785688
-1.9191919191919187,0.0,-0.6086161140643218,16,1.1039715569589383
-1.717171717171718,0.0,-0.7012045910325508,60,-0.3637630902265323
-1.5151515151515156,0.0,-0.7561184171275014,94,1.2798185806143505
-1.3131313131313131,0.0,-0.7870825560066635,80,1.4046454265125174
-1.1111111111111107,0.0,-0.8052421223088175,89,-1.2948554185342345
-0.9090909090909101,0.0,-0.8172282281478331,27,-0.024157366774524118
